"arten","reg"
"Bombus pascuorum",26682
"Bombus terrestris",26184
"Bombus lapidarius",19678
NULL,6782
"Bombus pratorum",3377
"Bombus hortorum",2718
"Bombus hypnorum",2101
"Bombus lucorum",2060
"Bombus sylvarum",1281
"Bombus rupestris",625
"Bombus vestalis",475
"Bombus humilis",445
"Bombus bohemicus",385
"Bombus sylvestris",338
"Bombus campestris",273
"Bombus magnus",245
"Bombus soroeensis",229
"Bombus subterraneus",206
"Bombus ruderarius",197
"Bombus barbutellus",151
"Bombus muscorum",138
"Bombus veteranus",114
"Bombus pomorum",108
"Bombus ruderatus",89
"Bombus wurflenii",77
"Bombus norvegicus",60
"Bombus cryptarum",57
"Bombus jonellus",49
"Bombus distinguendus",42
"Bombus confusus",40
"Bombus semenoviellus",34
"Bombus mucidus",19
"Bombus monticola",14
"Bombus mendax",11
"Bombus pyrenaeus",9
"Bombus gerstaeckeri",9
"Bombus argillaceus",6
"Bombus mesomelas",5
"Bombus opulentus",5
"Bombus ternarius",5
"Bombus lapponicus",3
"Bombus cullumanus",3
"Bombus quadricolor",2
"Bombus sichelii",2
"Bombus abavus",2
"Bombus affinis",1
"Bombus fragrans",1
"Bombus randeckensis",1
